unet,0,segmentation,3,432,1,"(128, 128, 1)",tanh,0.001,16,26,3.8743019104003906e-07,0.47428948
unet,0,segmentation,3,432,3,"(128, 128, 1)",elu,0.01,16,51,6.09084963798523e-07,0.4439872
unet,0,segmentation,3,432,3,"(128, 128, 1)",elu,0.01,8,28,3.9674341678619385e-07,0.45870078
unet,0,segmentation,3,432,1,"(128, 128, 1)",elu,0.01,8,73,4.4889748096466064e-07,0.6258996
unet,0,segmentation,3,432,3,"(128, 128, 1)",tanh,0.001,16,51,6.426125764846802e-07,0.4999199
unet,0,segmentation,3,432,3,"(128, 128, 1)",tanh,0.01,16,51,4.805624485015869e-07,0.4854123
unet,0,segmentation,3,432,1,"(128, 128, 1)",elu,0.001,8,83,3.91155481338501e-07,0.48651883
unet,0,segmentation,3,432,3,"(128, 128, 1)",tanh,0.001,8,50,4.116445779800415e-07,0.5046303
unet,0,segmentation,3,432,1,"(128, 128, 1)",elu,0.01,16,22,5.606561899185181e-07,0.49242985
unet,0,segmentation,3,432,3,"(128, 128, 1)",elu,0.001,8,61,4.284083843231201e-07,0.4617012
unet,0,segmentation,3,432,1,"(128, 128, 1)",tanh,0.01,16,25,6.034970283508301e-07,0.42316115
unet,0,segmentation,3,432,1,"(128, 128, 1)",tanh,0.001,8,83,4.377216100692749e-07,0.4837225
